gender,year_of_study,course_name,students_resident,challenge_storing_goods?,challenge,current_method_of_storage,renting_a_unit,ask_friends/family,carry_home,Other_method_of_storage?,type _of_belongings,clothing,study_materials,electronics,utensils,furniture,Other_belongings,duration_of_storage ,how_important_is_security,How_comfortable_using_online_platform,prefererence_of_ booking,preferred_method_of_payment,preferred_mode_of_communication,additional_feature_for_platform
Female,4,MCS,Outside the school,Yes,Had trouble finding a place to store my belongings,Carry them home,0,0,1,0,Clothing Study materials Electronics Utensils,1,1,1,1,0,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,Credit card,  In-app messages,
Male,3,Software engineering,Outside the school,Yes,The storage facility charged alot of money,Ask friends/family,0,1,0,0,Clothing Electronics Utensils Furniture,1,0,1,1,1,0,7-8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,
Female,2,Business with IT,School hostels,Yes,Charges are very high for storage facilities,Ask friends/family,0,1,0,0,Clothing Electronics Utensils Furniture,1,0,1,1,1,0,7-8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,
Female,2,Industrial maths,Outside the school,Yes,Belongings got lost,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,7-8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,
Male,3,Civil engineering,Outside the school,No,,Carry them home,0,0,1,0,Electronics Furniture,0,0,1,0,1,0,3-4 weeks,Very important,Neutral,In person at the storage facility,M-pesa,  In-app messages,
Male,4,Statistics,Outside the school,No,,Renting a storage unit,1,0,0,0,Furniture,0,0,0,0,1,0,More than 8 weeks,Very important,Very comfortable,In person at the storage facility,M-pesa,SMS,No
Female,4,Strategic management,Outside the school,No,,Ask friends/family,0,1,0,0,Furniture,0,0,0,0,1,0,7-8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,
Female,4,Bsc.Industrial chemistry,Outside the school,No,,Renting a storage unit,1,0,0,0,Utensils,0,0,0,1,0,0,1-2 weeks,Very important,Neutral,In person at the storage facility,Cash,SMS,Details of the storage facility
Female,4,Nursing,Outside the school,No,,Carry them home,0,0,1,0,Electronics,0,0,1,0,0,0,5-6 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,No
Female,3,Bsc. Computer Science,Outside the school,Yes,Some of my items got damaged in the process,Renting a storage unit Ask friends/family,1,1,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,3-4 weeks,Very important,Very comfortable,Online through the webapp,Credit card,  In-app messages,Friendly user interface
Male,3,Mass Communication,School hostels,Yes,,Ask friends/family Carry them home,0,1,1,0,Clothing Study materials Electronics Utensils,1,1,1,1,0,0,More than 8 weeks,Very important,Comfortable,Online through the webapp,M-pesa,SMS,Condition of my belongings
Female,4,Bsc in Banking and Finance,Outside the school,Yes,Some of my belongings got stolen.,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,3-4 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,No there isn't
Prefer not to say,4,,Outside the school,Yes,Charges for storage are way too high,Ask friends/family,0,1,0,0,Clothing Study materials Electronics Utensils,1,1,1,1,0,0,,Very important,Neutral,In person at the storage facility,M-pesa,SMS,
Male,3,Industrial maths,Outside the school,Yes,Damages,Carry them home,0,0,1,0,Clothing Study materials Electronics Utensils,1,1,1,1,0,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,No
Male,4,MCS,Outside the school,No,,Other,0,0,0,1,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Comfortable,Online through the webapp,M-pesa,SMS,none
Female,3,financial engineering,Outside the school,Yes,it was hard finding storage facilities,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,More than 8 weeks,Very important,Very uncomfortable,,M-pesa,SMS,
Male,4,Procurement,Outside the school,No,,Renting a storage unit,1,0,0,0,Clothing,1,0,0,0,0,0,3-4 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,
Male,4,B.commerce,School hostels,Yes,The cost was high,Ask friends/family,0,1,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,3-4 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,
Male,3,MCS,Outside the school,Yes,,Renting a storage unit,1,0,0,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,7-8 weeks,Very important,Comfortable,In person at the storage facility,M-pesa,SMS,n/a
Male,2,information technology,Outside the school,No,,Carry them home,0,0,1,0,Clothing Study materials Electronics Utensils Furniture,1,1,1,1,1,0,3-4 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,SMS,a chat bot to check on my items condition
Male,3,Telecommunications and information Engineering,Outside the school,Yes,Lack of space,Ask friends/family,0,1,0,0,Clothing Electronics Utensils Furniture,1,0,1,1,1,0,5-6 weeks,Very important,Very comfortable,In person at the storage facility,M-pesa,SMS,N/A
Male,2,Electrical and Electronic Engineering,Outside the school,No,,Carry them home,0,0,1,0,Study materials Furniture,0,1,0,0,1,0,7-8 weeks,Very important,Neutral,In person at the storage facility,M-pesa,SMS,
Male,4,BBIT,Outside the school,Yes,I dont have a place to put my belongings and i can't just leave them with anyone. There's a fear they will sell my belongings or disappear with them.,Ask friends/family,0,1,0,0,Clothing Electronics Utensils Furniture,1,0,1,1,1,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,No
Male,4,Electrical and electronic engineering,Outside the school,No,,Ask friends/family,0,1,0,0,Study materials Electronics Utensils Furniture,0,1,1,1,1,0,More than 8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,
Male,4,Mcs,Outside the school,Yes,Looking for secure storage solutions,Carry them home Other,0,0,1,1,Clothing Electronics Utensils Furniture,1,0,1,1,1,0,7-8 weeks,Very important,Very comfortable,Online through the webapp,M-pesa,  In-app messages,Incoporating mpesa with the app so that you only need to input your mpesa pin
